"fn","m","f","t"
"Angelita",0.00,1.00,22
"Angella",0.00,1.00,16
"Angelo",0.95,0.05,244
"Angely",0.09,0.91,11
"Angie",0.02,0.98,523
"Angle",0.08,0.92,12
"Angus",0.78,0.22,18
"Anh",0.20,0.80,30
"Ani",0.06,0.94,36
"Ania",0.00,1.00,26
"Aniah",0.00,1.00,18
"Anibal",0.16,0.84,19
"Anika",0.02,0.98,110
"Anisa",0.00,1.00,48
"Anisah",0.08,0.92,13
"Anisha",0.00,1.00,43
"Anissa",0.00,1.00,100
"Anita",0.02,0.98,309
"Anitra",0.08,0.92,25
"Aniya",0.00,1.00,69
"Aniyah",0.03,0.97,63
"Anja",0.19,0.81,16
"Anjanette",0.00,1.00,11
"Anjelica",0.02,0.98,41
"Ankit",0.88,0.13,16
"Ankita",0.06,0.94,17
"Anmol",0.82,0.18,22
"Ann",0.02,0.98,291
"Ann Marie",0.00,1.00,28
"Anna",0.01,0.99,1752
"Annabel",0.00,1.00,32
"Annabella",0.00,1.00,15
"Annabelle",0.00,1.00,71
"Annah",0.00,1.00,13
"Annalee",0.00,1.00,12
"Annalisa",0.03,0.97,35
"Annalise",0.00,1.00,24
"Annamarie",0.00,1.00,32
"Annastasia",0.00,1.00,15
"Anne",0.01,0.99,250
"Anneke",0.17,0.83,12
"Anneliese",0.13,0.87,15
"Annelise",0.00,1.00,21
"Annemarie",0.00,1.00,28
"Annette",0.02,0.98,236
"Annie",0.01,0.99,475
"Annika",0.02,0.98,92
"Annissa",0.00,1.00,12
"Annmarie",0.00,1.00,52
"Anny",0.06,0.94,16
"Anson",0.94,0.06,16
"Ant",0.79,0.21,52
"Anthony",0.99,0.01,4162
"Antionette",0.07,0.93,46
"Antoine",0.73,0.27,153
"Antoinette",0.07,0.93,215
"Anton",0.98,0.02,96
"Antone",0.92,0.08,13
"Antonella",0.13,0.88,16
"Antonette",0.08,0.92,36
"Antonia",0.06,0.94,129
"Antonio",0.98,0.02,1036
"Antony",0.98,0.02,41
"Antwan",0.90,0.10,63
"Antwon",1.00,0.00,34
"Anusha",0.08,0.92,25
"Anushka",0.07,0.93,15
"Anwar",0.94,0.06,17
"Anya",0.04,0.96,80
"Anyssa",0.00,1.00,31
