"fn","m","f","t"
"Jeanne",0.01,0.99,75
"Jeannette",0.01,0.99,89
"Jeannie",0.00,1.00,68
"Jeannine",0.04,0.96,27
"Jeb",0.82,0.18,11
"Jed",1.00,0.00,37
"Jeff",0.99,0.01,818
"Jefferson",1.00,0.00,54
"Jeffery",0.97,0.03,194
"Jeffrey",0.98,0.02,780
"Jeffry",1.00,0.00,15
"Jelani",0.06,0.94,52
"Jelena",0.00,1.00,19
"Jelisa",0.00,1.00,17
"Jemima",0.00,1.00,16
"Jen",0.03,0.97,302
"Jena",0.00,1.00,82
"Jenae",0.08,0.93,40
"Jenay",0.00,1.00,11
"Jenaya",0.00,1.00,12
"Jenell",0.20,0.80,20
"Jenelle",0.00,1.00,31
"Jenessa",0.00,1.00,13
"Jeneva",0.18,0.82,11
"Jeni",0.03,0.97,32
"Jenica",0.00,1.00,20
"Jenice",0.00,1.00,14
"Jenifer",0.01,0.99,109
"Jeniffer",0.03,0.97,38
"Jenine",0.09,0.91,11
"Jenise",0.00,1.00,24
"Jenn",0.05,0.95,111
"Jenna",0.01,0.99,1022
"Jennah",0.00,1.00,21
"Jenni",0.03,0.97,69
"Jennica",0.00,1.00,16
"Jennie",0.04,0.96,112
"Jennifer",0.01,0.99,4297
"Jenniffer",0.00,1.00,13
"Jenny",0.02,0.98,668
"Jennyfer",0.05,0.95,20
"Jerad",0.92,0.08,12
"Jerald",1.00,0.00,19
"Jeramy",0.94,0.06,16
"Jered",1.00,0.00,18
"Jerel",0.86,0.14,22
"Jerell",0.85,0.15,13
"Jeremey",1.00,0.00,15
"Jeremiah",0.94,0.06,561
"Jeremie",0.78,0.22,18
"Jeremy",0.97,0.03,1399
"Jeri",0.78,0.22,32
"Jerica",0.00,1.00,41
"Jericho",1.00,0.00,22
"Jerika",0.00,1.00,18
"Jerimiah",0.78,0.22,18
"Jermain",0.73,0.27,11
"Jermel",0.92,0.08,13
"Jermey",0.95,0.05,22
"Jermiah",1.00,0.00,12
"Jerod",0.97,0.03,33
"Jerome",0.98,0.02,222
"Jeromy",0.91,0.09,11
"Jeron",1.00,0.00,18
"Jerrell",0.87,0.13,38
"Jerri",0.92,0.08,24
"Jerrica",0.00,1.00,33
"Jerrick",1.00,0.00,14
"Jerrika",0.00,1.00,12
"Jerrod",0.96,0.04,45
"Jerry",0.99,0.01,503
"Jerson",0.92,0.08,12
"Jesenia",0.00,1.00,34
"Jesi",0.15,0.85,13
"Jesica",0.00,1.00,37
"Jess",0.20,0.80,425
"Jessa",0.00,1.00,21
"Jessalyn",0.00,1.00,17
"Jesseca",0.00,1.00,11
"Jessenia",0.00,1.00,43
"Jessi",0.22,0.78,101
"Jessica",0.01,0.99,5930
"Jessika",0.03,0.97,64
"Jesslyn",0.00,1.00,13
"Jessyca",0.00,1.00,16
"Jesus",0.98,0.02,1100
"Jett",1.00,0.00,29
"Jevon",0.98,0.03,40
"Jewel",0.06,0.94,116
"Jewell",0.11,0.89,38
"Jhane",0.09,0.91,11
"Jhon",1.00,0.00,23
"Jhonatan",0.91,0.09,11
"Jhonny",0.95,0.05,20
"Jia",0.22,0.78,18
"Jianna",0.00,1.00,12
"Jihad",1.00,0.00,22
"Jill",0.13,0.87,390
"Jillian",0.11,0.89,351
"Jim",0.99,0.01,282
"Jimena",0.13,0.88,16
"Jimi",0.83,0.17,12
"Jimmie",0.88,0.12,65
"Jimmy",0.97,0.03,599
"Jin",0.75,0.25,20
"Jina",0.17,0.83,12
"Jing",1.00,0.00,15
"Jj",0.98,0.02,107
"Joan",0.04,0.96,188
"Joana",0.02,0.98,56
"Joane",0.00,1.00,11
"Joanie",0.03,0.97,30
"Joann",0.03,0.97,143
"Joanna",0.01,0.99,420
"Joanne",0.02,0.98,179
"Joao",0.90,0.10,20
"Joaquin",0.80,0.20,66
"Job",1.00,0.00,19
"Jocelin",0.00,1.00,15
"Joceline",0.05,0.95,22
"Jocelyn",0.02,0.98,589
"Jocelyne",0.00,1.00,45
"Jocelynn",0.06,0.94,18
"Jodi",0.15,0.85,175
"Jodie",0.13,0.87,69
"Jody",0.18,0.82,136
"Joe",0.99,0.01,1712
"Joel",0.97,0.03,766
"Joeseph",1.00,0.00,18
"Joesph",0.95,0.05,22
"Joey",0.97,0.03,892
"Johan",0.89,0.11,53
"Johana",0.11,0.89,55
"Johanna",0.05,0.95,187
"John",0.99,0.01,4542
"John Paul",1.00,0.00,20
"Johnathan",0.99,0.01,335
"Johnathon",0.97,0.03,79
"Johnesha",0.00,1.00,12
"Johnna",0.12,0.88,26
"Johnnie",0.91,0.09,75
"Johnny",0.99,0.01,721
"Johnson",1.00,0.00,49
"Johny",0.94,0.06,18
"Joi",0.20,0.80,54
"Jolee",0.18,0.82,11
"Joleen",0.09,0.91,11
"Jolene",0.06,0.94,63
"Jolie",0.08,0.92,38
"Jolisa",0.08,0.92,12
"Jolynn",0.09,0.91,22
"Jomar",1.00,0.00,17
"Jon",0.99,0.01,663
"Jona",0.19,0.81,16
"Jonah",0.78,0.22,283
"Jonas",0.97,0.03,68
"Jonatan",0.95,0.05,21
"Jonathan",0.99,0.01,2697
"Jonathon",1.00,0.00,204
"Jonelle",0.27,0.73,22
"Jonna",0.07,0.93,28
"Jonny",1.00,0.00,98
"Jonte",0.75,0.25,12
"Jordan",0.94,0.06,3463
"Jordana",0.04,0.96,24
"Jordann",0.92,0.08,12
"Jorden",0.84,0.16,44
"Jordi",0.73,0.27,30
"Jordin",0.76,0.24,45
"Jordon",0.93,0.07,85
"Jordy",0.91,0.09,46
"Jorge",0.99,0.01,843
"Jose",0.98,0.02,2848
"Jose Luis",1.00,0.00,24
"Josef",0.95,0.05,40
"Josefina",0.04,0.96,27
"Joselin",0.03,0.97,32
"Joseline",0.07,0.93,29
"Joselyn",0.05,0.95,86
"Joseph",0.99,0.01,2976
"Josephine",0.04,0.96,201
"Josette",0.07,0.93,27
"Josh",0.99,0.01,2590
"Joshua",0.98,0.02,3111
"Joshy",0.91,0.09,11
"Josiah",0.88,0.12,242
"Josie",0.11,0.89,259
"Joslin",0.27,0.73,11
"Joslyn",0.05,0.95,41
"Joslynn",0.09,0.91,11
"Josselyn",0.04,0.96,23
"Josue",0.95,0.05,248
"Jourdan",0.90,0.10,40
"Jovan",0.94,0.06,88
"Jovana",0.05,0.95,19
"Jovani",0.80,0.20,25
"Jovanna",0.05,0.95,21
"Jovanni",0.75,0.25,24
"Jovon",0.96,0.04,26
"Joy",0.05,0.95,302
"Joya",0.00,1.00,14
"Joyce",0.02,0.98,282
"Joycelyn",0.00,1.00,15
"Jp",0.98,0.02,97
"Jr",0.99,0.01,75
"JT",0.97,0.03,94
"Juan",0.99,0.01,1772
"Juan Carlos",1.00,0.00,35
"Juan Pablo",1.00,0.00,14
"Juana",0.06,0.94,100
"Juanita",0.02,0.98,190
"Judah",0.88,0.12,25
"Judi",0.06,0.94,18
"Judith",0.05,0.95,209
"Judy",0.04,0.96,253
"Juli",0.08,0.92,24
"Julia",0.01,0.99,1585
"Julian",0.76,0.24,764
"Juliana",0.00,1.00,248
"Juliann",0.17,0.83,23
"Julianna",0.01,0.99,193
"Julianne",0.02,0.98,84
"Julie",0.01,0.99,976
"Juliet",0.01,0.99,97
"Julieta",0.00,1.00,31
"Juliette",0.00,1.00,72
"Julio",0.97,0.03,350
"Julisa",0.00,1.00,47
"Julissa",0.02,0.98,181
"Julius",0.95,0.05,145
"July",0.08,0.92,12
"Jun",0.83,0.17,12
"Junaid",1.00,0.00,11
"Junie",0.09,0.91,11
"Junior",0.99,0.01,164
"Justen",0.97,0.03,32
"Justin",0.99,0.01,3559
"Justina",0.05,0.95,88
"Justo",1.00,0.00,13
"Justyce",0.00,1.00,18
"Justyn",0.80,0.20,30
"Justyna",0.17,0.83,12
"Juwan",0.97,0.03,66
"K",0.78,0.22,18
"Kacee",0.14,0.86,14
"Kacey",0.09,0.91,68
"Kaci",0.07,0.93,45
"Kacie",0.05,0.95,99
"Kacy",0.07,0.93,28
"Kade",0.74,0.26,68
"Kadeem",0.89,0.11,19
"Kaden",0.85,0.15,110
"Kadesha",0.00,1.00,12
"Kadija",0.25,0.75,12
"Kady",0.00,1.00,18
"Kae",0.25,0.75,12
"Kaela",0.01,0.99,92
"Kaeli",0.25,0.75,16
"Kaelin",0.15,0.85,26
"Kaelyn",0.05,0.95,39
"Kaelynn",0.07,0.93,14
"Kahla",0.00,1.00,13
"Kahlil",0.72,0.28,36
"Kaia",0.00,1.00,22
"Kaiden",0.76,0.24,17
"Kaila",0.03,0.97,153
"Kailah",0.08,0.92,37
"Kailani",0.09,0.91,11
"Kailee",0.06,0.94,86
"Kailey",0.03,0.97,141
"Kaili",0.08,0.92,12
"Kailie",0.00,1.00,13
"Kailin",0.08,0.92,12
"Kaily",0.08,0.92,13
"Kailyn",0.03,0.97,60
"Kailynn",0.00,1.00,12
"Kain",0.94,0.06,17
"Kainoa",0.17,0.83,12
"Kaiser",0.82,0.18,11
"Kait",0.08,0.92,25
"Kaitie",0.00,1.00,11
"Kaitlan",0.00,1.00,12
"Kaitlin",0.01,0.99,361
"Kaitlyn",0.01,0.99,945
"Kaitlynn",0.01,0.99,106
"Kaity",0.00,1.00,26
"Kaiya",0.00,1.00,25
"Kajal",0.71,0.29,14
"Kala",0.04,0.96,52
"Kalah",0.27,0.73,15
"Kalani",0.22,0.78,27
"Kalea",0.00,1.00,12
"Kaleah",0.00,1.00,18
"Kaleb",0.96,0.04,280
"Kalee",0.07,0.93,28
"Kaleena",0.00,1.00,12
"Kaleigh",0.21,0.79,86
"Kaley",0.09,0.91,91
"Kali",0.26,0.74,173
"Kalia",0.00,1.00,30
"Kalie",0.04,0.96,48
"Kalil",0.85,0.15,13
"Kalina",0.00,1.00,12
"Kalisha",0.00,1.00,19
"Kalista",0.05,0.95,19
"Kaliyah",0.00,1.00,26
"Kalli",0.21,0.79,29
"Kallie",0.02,0.98,47
"Kally",0.00,1.00,12
"Kalvin",1.00,0.00,26
"Kalyn",0.03,0.97,68
"Kalynn",0.00,1.00,14
"Kalysta",0.00,1.00,13
"Kam",0.73,0.27,48
"Kamal",0.90,0.10,48
"Kamari",0.27,0.73,30
"Kamaria",0.03,0.97,29
"Kamaya",0.15,0.85,13
"Kameron",0.73,0.27,169
"Kami",0.19,0.81,52
"Kamila",0.00,1.00,33
"Kamilah",0.00,1.00,18
"Kamiyah",0.00,1.00,11
"Kamran",0.86,0.14,14
"Kamron",0.83,0.17,23
"Kamryn",0.22,0.78,88
"Kandace",0.00,1.00,30
"Kandi",0.17,0.83,29
"Kandice",0.00,1.00,50
"Kandy",0.00,1.00,23
"Kane",0.86,0.14,50
"Kaneisha",0.09,0.91,23
"Kanesha",0.00,1.00,23
"Kaneshia",0.00,1.00,12
"Kania",0.00,1.00,11
"Kanisha",0.02,0.98,41
"Kaniya",0.00,1.00,17
"Kara",0.01,0.99,496
"Karah",0.00,1.00,15
"Karan",0.24,0.76,50
"Kareem",0.75,0.25,126
"Kareema",0.18,0.82,11
"Karely",0.13,0.88,16
"Karen",0.02,0.98,1319
"Karena",0.00,1.00,21
"Kari",0.18,0.82,183
"Karie",0.00,1.00,19
"Karima",0.06,0.94,18
"Karin",0.11,0.89,44
"Karina",0.01,0.99,711
"Karisa",0.00,1.00,21
"Karishma",0.00,1.00,19
"Karisma",0.00,1.00,21
"Karissa",0.00,1.00,148
"Karizma",0.00,1.00,14
"Karl",0.96,0.04,159
"Karla",0.02,0.98,672
"Karlee",0.04,0.96,68
"Karleen",0.00,1.00,13
"Karley",0.15,0.85,39
"Karli",0.10,0.90,77
"Karlie",0.09,0.91,55
"Karlos",0.91,0.09,11
"Karly",0.07,0.93,61
"Karlyn",0.00,1.00,14
"Karma",0.19,0.81,16
"Karmen",0.03,0.97,29
"Karol",0.13,0.87,30
"Karolina",0.00,1.00,36
"Karoline",0.00,1.00,17
"Karri",0.12,0.88,17
"Karrie",0.00,1.00,19
"Karson",0.79,0.21,34
"Karsten",0.13,0.88,16
"Karsyn",0.27,0.73,11
"Karter",0.71,0.29,14
"Kary",0.14,0.86,14
"Karyme",0.23,0.77,13
"Karyn",0.03,0.97,32
"Kasandra",0.01,0.99,80
"Kasey",0.09,0.91,226
"Kash",0.93,0.07,14
"Kasha",0.05,0.95,19
"Kashawn",0.91,0.09,11
"Kasi",0.18,0.82,17
"Kasia",0.05,0.95,20
"Kasie",0.06,0.94,32
"Kason",1.00,0.00,12
"Kassandra",0.01,0.99,257
"Kassi",0.09,0.91,23
"Kassidy",0.02,0.98,126
"Kassie",0.00,1.00,100
"Kassy",0.00,1.00,30
"Kat",0.04,0.96,311
"Katalina",0.07,0.93,14
"Katarina",0.04,0.96,69
"Katarzyna",0.09,0.91,11
"Kate",0.02,0.98,654
"Katelin",0.04,0.96,49
"Katelyn",0.01,0.99,665
"Katelyne",0.00,1.00,12
"Katelynn",0.01,0.99,176
"Katerin",0.05,0.95,19
"Katerina",0.00,1.00,40
"Katerine",0.07,0.93,14
"Katey",0.00,1.00,24
"Katharine",0.00,1.00,46
"Katherin",0.00,1.00,18
"Katherina",0.00,1.00,12
"Katherine",0.02,0.98,1117
"Katheryn",0.05,0.95,22
"Kathi",0.06,0.94,16
"Kathia",0.09,0.91,11
"Kathie",0.00,1.00,21
"Kathleen",0.00,1.00,500
"Kathrine",0.00,1.00,28
"Kathryn",0.01,0.99,445
"Kathryne",0.00,1.00,11
"Kathy",0.00,1.00,507
"Kathya",0.00,1.00,14
"Kati",0.12,0.88,33
"Katia",0.03,0.97,96
"Katiana",0.00,1.00,20
"Katie",0.01,0.99,2033
"Katilyn",0.00,1.00,11
"Katina",0.05,0.95,40
"Katisha",0.00,1.00,12
"Katlin",0.05,0.95,42
"Katlyn",0.01,0.99,160
"Katlynn",0.00,1.00,33
"Katrice",0.05,0.95,19
"Katrina",0.00,1.00,545
"Katt",0.09,0.91,11
"Kattie",0.00,1.00,23
"Katy",0.01,0.99,189
"Katya",0.02,0.98,55
"Kavita",0.08,0.92,13
"Kavon",0.86,0.14,36
"Kay",0.10,0.90,133
"Kaya",0.00,1.00,51
"Kaycee",0.07,0.93,29
"Kaycie",0.00,1.00,15
"Kaydee",0.00,1.00,12
"Kayden",0.83,0.17,36
"Kaye",0.13,0.87,15
"Kaykay",0.00,1.00,12
"Kayla",0.01,0.99,3423
"Kaylah",0.03,0.97,76
"Kaylea",0.00,1.00,15
"Kaylee",0.03,0.97,634
"Kayleen",0.03,0.98,40
"Kayleigh",0.13,0.87,116
"Kaylen",0.09,0.91,32
"Kaylene",0.00,1.00,25
"Kayley",0.09,0.91,47
"Kayli",0.03,0.97,64
"Kaylie",0.02,0.98,123
"Kaylin",0.03,0.97,116
"Kaylon",0.75,0.25,12
"Kaylyn",0.00,1.00,77
"Kaylynn",0.00,1.00,54
"Kaysha",0.00,1.00,23
"Kaytlin",0.05,0.95,19
"Kaytlyn",0.03,0.97,29
"Kayvon",0.92,0.08,12
"Keagan",0.79,0.21,24
"Keaira",0.00,1.00,42
"Keana",0.02,0.98,45
"Keandra",0.00,1.00,24
"Keanna",0.00,1.00,66
"Keanu",0.87,0.13,45
"Keara",0.05,0.95,37
"Kearra",0.00,1.00,14
"Keasia",0.00,1.00,11
"Keaton",0.95,0.05,121
"Kecia",0.00,1.00,12
"Keegan",0.75,0.25,153
"Keelan",0.79,0.21,14
"Keeley",0.09,0.91,32
"Keely",0.17,0.83,81
"Keenan",0.87,0.13,113
"Keesha",0.00,1.00,28
"Kegan",0.73,0.27,15
"Keiana",0.05,0.95,20
"Keianna",0.07,0.93,14
"Keiara",0.00,1.00,18
"Keila",0.00,1.00,56
"Keilani",0.15,0.85,13
"Keion",0.95,0.05,20
"Keiona",0.00,1.00,12
"Keira",0.00,1.00,46
"Keirsten",0.00,1.00,14
"Keisha",0.02,0.98,195
"Keishla",0.05,0.95,21
"Keith",0.85,0.15,646
"Keke",0.04,0.96,24
"Kela",0.07,0.93,15
"Kelby",0.27,0.73,15
"Kelcey",0.14,0.86,22
"Kelcie",0.00,1.00,23
"Kelcy",0.00,1.00,11
"Keli",0.00,1.00,16
"Kellan",0.75,0.25,12
"Kellee",0.00,1.00,17
"Keller",0.82,0.18,11
"Kelley",0.11,0.89,122
"Kelli",0.10,0.90,250
"Kellie",0.05,0.95,166
"Kelly",0.09,0.91,1576
"Kellyn",0.07,0.93,14
"Kelsea",0.06,0.94,49
"Kelsee",0.00,1.00,19
"Kelsey",0.03,0.97,1046
"Kelsi",0.07,0.93,74
"Kelsie",0.02,0.98,127
"Kelsy",0.00,1.00,26
"Kelton",0.93,0.07,28
"Kelvin",0.98,0.02,241
"Kemar",0.92,0.08,13
"Ken",0.98,0.02,220
"Kenan",0.83,0.17,24
"Kendal",0.23,0.77,69
"Kendall",0.19,0.81,408
"Kendell",0.27,0.73,37
"Kendra",0.02,0.98,625
"Kendria",0.00,1.00,11
"Kendrick",0.94,0.06,119
"Kendyl",0.06,0.94,16
"Kenesha",0.00,1.00,11
"Kenia",0.07,0.93,96
"Kenisha",0.05,0.95,57
"Kenji",0.77,0.23,13
"Kenna",0.09,0.91,75
"Kennady",0.14,0.86,14
"Kenneth",0.98,0.02,894
"Kennisha",0.00,1.00,12
"Kenny",0.91,0.09,434
"Kenrick",1.00,0.00,13
"Kent",0.95,0.05,57
"Kenton",0.94,0.06,18
"Kentrell",0.86,0.14,14
"Kenya",0.06,0.94,233
"Kenyan",0.73,0.27,11
"Kenyatta",0.05,0.95,58
"Kenyetta",0.00,1.00,27
"Kenyon",0.86,0.14,29
"Kenzi",0.26,0.74,23
"Kenzie",0.16,0.84,262
"Keon",0.92,0.08,52
"Keona",0.05,0.95,42
"Keondra",0.04,0.96,24
"Keondre",0.82,0.18,11
"Keoni",0.28,0.72,18
"Keonna",0.00,1.00,17
"Keosha",0.05,0.95,22
"Kera",0.00,1.00,25
"Kerby",0.91,0.09,11
"Keren",0.07,0.93,30
"Keri",0.18,0.82,102
"Kerri",0.08,0.92,101
"Kerrie",0.00,1.00,26
"Kerrigan",0.29,0.71,17
"Kerry",0.27,0.73,176
"Kervens",0.77,0.23,13
"Kesean",0.75,0.25,12
"Kesha",0.00,1.00,49
"Keshaun",0.90,0.10,31
"Keshauna",0.00,1.00,12
"Keshawn",0.75,0.25,53
"Keshia",0.00,1.00,41
"Keshon",0.79,0.21,19
"Keturah",0.13,0.88,24
"Kev",1.00,0.00,36
"Keven",1.00,0.00,36
"Kevin",0.99,0.01,3420
"Kevon",0.98,0.02,45
"Kevyn",1.00,0.00,14
"Keya",0.00,1.00,14
"Keyaira",0.00,1.00,15
"Keyana",0.02,0.98,54
"Keyanna",0.00,1.00,51
"Keyara",0.04,0.96,23
"Keyera",0.10,0.90,21
"Keyla",0.02,0.98,66
"Keyon",0.95,0.05,39
"Keyona",0.00,1.00,38
"Keyonna",0.00,1.00,47
"Keysha",0.05,0.95,19
"Keyshawn",0.75,0.25,57
"Kezia",0.00,1.00,19
"Keziah",0.21,0.79,24
"Khaled",0.93,0.07,29
"Khaleel",0.85,0.15,13
"Khalia",0.12,0.88,43
"Khaliah",0.15,0.85,20
"Khalid",0.88,0.12,99
"Khalil",0.88,0.12,163
"Khalilah",0.25,0.75,16
"Khayla",0.08,0.92,25
"Khoi",0.92,0.08,13
"Khristian",0.77,0.23,13
"Khristina",0.00,1.00,14
"Kia",0.09,0.91,109
"Kiah",0.18,0.82,38
"Kian",0.88,0.12,25
"Kiana",0.02,0.98,432
"Kiandra",0.00,1.00,16
"Kiani",0.00,1.00,13
"Kianna",0.01,0.99,128
"Kiara",0.01,0.99,790
"Kiarah",0.00,1.00,18
"Kiarra",0.00,1.00,59
"Kiasia",0.00,1.00,11
"Kieara",0.00,1.00,12
"Kiera",0.03,0.97,175
"Kierra",0.02,0.98,248
"Kiersten",0.03,0.97,93
"Kierstin",0.03,0.97,31
"Kierstyn",0.00,1.00,17
"Kiesha",0.04,0.96,26
"Kieth",0.92,0.08,13
"Kiki",0.05,0.95,80
"Kilee",0.08,0.92,12
"Kiley",0.13,0.87,108
"Kim",0.10,0.90,882
"Kimani",0.11,0.89,28
"Kimber",0.19,0.81,27
"Kimberlee",0.00,1.00,33
"Kimberley",0.01,0.99,76
"Kimberli",0.00,1.00,13
"Kimberlie",0.00,1.00,13
"Kimberly",0.01,0.99,2072
"Kimberlyn",0.06,0.94,18
"Kimi",0.00,1.00,26
"Kimmie",0.00,1.00,16
"Kimmy",0.07,0.93,55
"Kindra",0.00,1.00,19
"King",1.00,0.00,47
"Kingsley",0.86,0.14,21
"Kingston",1.00,0.00,11
"Kinsey",0.14,0.86,35
"Kinsley",0.18,0.82,11
"Kiona",0.04,0.96,25
"Kionna",0.04,0.96,24
"Kira",0.03,0.97,240
"Kirk",0.95,0.05,107
"Kirkland",0.77,0.23,13
"Kirsten",0.02,0.98,315
"Kirstie",0.00,1.00,25
"Kirstin",0.00,1.00,51
"Kirstyn",0.04,0.96,26
"Kisha",0.00,1.00,41
"Kita",0.00,1.00,13
"Kitana",0.06,0.94,16
"Kitty",0.00,1.00,27
"Kiya",0.10,0.90,49
"Kiyah",0.18,0.82,17
"Kiyana",0.00,1.00,24
"Kj",0.98,0.02,59
"Klarissa",0.00,1.00,27
"Klaudia",0.05,0.95,20
"Kobe",0.98,0.02,125
"Kobi",0.76,0.24,17
"Kobie",0.86,0.14,14
"Koby",0.96,0.04,51
"Kodi",0.91,0.09,23
"Kodie",0.93,0.07,14
"Kody",0.94,0.06,116
"Kofi",0.89,0.11,27
"Kolby",0.91,0.09,66
"Kole",0.89,0.11,28
"Kollin",0.82,0.18,11
"Kolton",0.90,0.10,20
"Komal",0.95,0.05,19
"Kong",1.00,0.00,12
"Konner",1.00,0.00,12
"Konnor",1.00,0.00,15
"Konrad",0.92,0.08,12
"Kora",0.00,1.00,11
"Korbin",0.92,0.08,13
"Kordell",0.84,0.16,19
"Kori",0.29,0.71,73
"Korie",0.29,0.71,17
"Korina",0.17,0.83,18
"Kortney",0.09,0.91,47
"Kourtney",0.07,0.93,98
"Kraig",1.00,0.00,15
"Krishna",0.02,0.98,50
"Krissy",0.00,1.00,48
"Krista",0.00,1.00,296
"Kristal",0.03,0.97,70
"Kristen",0.02,0.98,880
"Kristena",0.00,1.00,11
"Kristi",0.00,1.00,197
"Kristiana",0.00,1.00,14
"Kristie",0.01,0.99,120
"Kristin",0.03,0.97,490
"Kristina",0.01,0.99,688
"Kristine",0.01,0.99,202
"Kristofer",1.00,0.00,21
"Kristopher",0.94,0.06,108
"Kristy",0.03,0.97,225
"Kristyn",0.00,1.00,40
"Krysta",0.03,0.97,70
"Krystal",0.01,0.99,585
"Krysten",0.00,1.00,30
"Krystin",0.05,0.95,22
"Krystina",0.00,1.00,30
"Krystine",0.00,1.00,14
"Krystle",0.03,0.97,70
"Krystyna",0.00,1.00,13
"Kumar",1.00,0.00,13
"Kunal",0.92,0.08,12
"Kurt",0.99,0.01,130
"Kurtis",0.81,0.19,53
"Kush",0.92,0.08,13
"Kwabena",0.18,0.82,11
"Kwame",0.74,0.26,34
"Ky",0.71,0.29,28
"Kya",0.04,0.96,25
"Kyah",0.10,0.90,21
"Kyana",0.03,0.97,32
"Kyanna",0.00,1.00,25
"Kyara",0.02,0.98,46
"Kye",1.00,0.00,13
"Kyera",0.06,0.94,18
"Kyia",0.00,1.00,11
"Kyla",0.01,0.99,247
"Kylah",0.09,0.91,33
"Kylan",0.71,0.29,17
"Kyle",0.89,0.11,2650
"Kylee",0.11,0.89,218
"Kyleigh",0.09,0.91,46
"Kyler",0.84,0.16,138
"Kyley",0.29,0.71,14
"Kyli",0.08,0.92,13
"Kylie",0.06,0.94,534
"Kym",0.20,0.80,15
"Kyndal",0.11,0.89,19
"Kyndall",0.06,0.94,16
"Kyra",0.01,0.99,318
"Kyrah",0.00,1.00,11
"Kyron",0.91,0.09,23
"Kyrsten",0.00,1.00,23
"L",0.80,0.20,15
"La",0.18,0.82,11
"Labria",0.00,1.00,11
"Lacee",0.21,0.79,14
"Lacey",0.04,0.96,248
"Lachelle",0.00,1.00,21
"Laci",0.07,0.93,28
"Lacie",0.02,0.98,41
"Lacy",0.07,0.93,99
"Ladarius",0.83,0.17,18
"Ladonna",0.05,0.95,37
"Lady",0.05,0.95,21
"Laila",0.01,0.99,73
"Laina",0.00,1.00,11
"Laine",0.20,0.80,20
"Lainey",0.10,0.90,29
"Laisha",0.07,0.93,14
"Lakayla",0.06,0.94,17
"Lakeesha",0.08,0.92,12
"Lakeisha",0.01,0.99,93
"Lakendra",0.00,1.00,24
"Lakenya",0.00,1.00,18
"Lakesha",0.06,0.94,52
"Lakeshia",0.06,0.94,31
"Lakeya",0.00,1.00,12
"Lakia",0.10,0.90,30
"Lakiesha",0.00,1.00,12
"Lakira",0.17,0.83,12
"Lakisha",0.03,0.97,87
"Lakita",0.00,1.00,14
"Lala",0.03,0.97,29
"Lalo",0.71,0.29,21
"Lamar",0.96,0.04,147
"Lamarr",1.00,0.00,11
"Lamia",0.07,0.93,14
"Lamont",0.93,0.07,96
"Lamonte",0.93,0.07,15
"Lamya",0.13,0.88,16
"Lana",0.05,0.95,106
"Lanae",0.00,1.00,13
"Lanaya",0.00,1.00,15
"Lance",0.95,0.05,234
"Landen",1.00,0.00,17
"Landon",0.95,0.05,220
"Lanesha",0.00,1.00,14
"Lanette",0.06,0.94,18
"Laney",0.07,0.93,41
"Langston",1.00,0.00,22
"Lani",0.03,0.97,38
"Lanie",0.00,1.00,15
"Lanisha",0.00,1.00,22
"Laniya",0.00,1.00,13
"Lanna",0.00,1.00,12
"Laquanda",0.06,0.94,16
"Laquesha",0.00,1.00,13
"Laquisha",0.03,0.97,33
"Laquita",0.00,1.00,39
"Lara",0.01,0.99,97
"Larae",0.25,0.75,12
"Larhonda",0.09,0.91,11
"Larisa",0.00,1.00,26
"Larissa",0.01,0.99,188
"Laron",0.96,0.04,23
"Larry",0.97,0.03,548
"Lars",0.79,0.21,14
"Laryssa",0.00,1.00,13
"Lasha",0.00,1.00,12
"Lashae",0.00,1.00,27
"Lashanda",0.00,1.00,30
"Lashaun",0.74,0.26,19
"Lashawna",0.04,0.96,24
"Lashawnda",0.00,1.00,11
"Lashay",0.09,0.91,47
"Lashon",0.73,0.27,15
"Lashonda",0.03,0.97,70
"Lashondra",0.00,1.00,11
"Lashunda",0.14,0.86,14
"Latanya",0.02,0.98,53
"Latara",0.00,1.00,12
"Latarsha",0.00,1.00,13
"Latasha",0.02,0.98,187
"Latavia",0.00,1.00,35
"Lateisha",0.08,0.92,13
"Latesha",0.05,0.95,38
"Latia",0.03,0.97,31
"Laticia",0.00,1.00,14
"Latifah",0.05,0.95,19
"Latina",0.08,0.92,12
"Latisha",0.01,0.99,145
"Latonia",0.00,1.00,16
"Latonya",0.01,0.99,98
"Latoria",0.00,1.00,25
"Latosha",0.03,0.97,37
"Latoya",0.10,0.90,353
"Latrell",0.81,0.19,31
"Latrice",0.06,0.94,81
"Latricia",0.00,1.00,29
"Latrina",0.00,1.00,14
"Latrisha",0.00,1.00,15
"Laura",0.01,0.99,1767
"Lauran",0.06,0.94,16
"Laureen",0.00,1.00,12
"Laurel",0.18,0.82,87
"Lauren",0.04,0.96,2713
"Laurence",0.93,0.07,28
"Lauri",0.07,0.93,14
"Laurie",0.01,1.00,200
"Lauryn",0.02,0.98,195
"Lavell",0.78,0.22,18
"Laverne",0.29,0.71,24
"Lavon",0.78,0.22,23
"Lavonda",0.12,0.88,17
"Lavonne",0.05,0.95,21
"Lawanda",0.03,0.97,36
"Lawrence",0.97,0.03,316
"Lawson",0.93,0.07,28
"Laya",0.00,1.00,14
"Layla",0.00,1.00,93
"Layton",0.95,0.05,19
"Lazaro",0.95,0.05,39
